"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2017","9,011.00","9,011.00","9,011.00","9,011.00","","0.00%"
"02/26/2017","9,011.00","9,129.00","9,585.00","9,011.00","0.01K","-1.29%"
"02/19/2017","9,129.00","9,129.00","9,129.00","9,129.00","0.00K","0.35%"
"02/12/2017","9,097.00","9,097.00","9,097.00","9,097.00","","-3.55%"
"02/05/2017","9,432.00","9,432.00","9,432.00","9,432.00","","0.00%"
"01/29/2017","9,432.00","9,432.00","9,432.00","9,432.00","","0.00%"
"01/22/2017","9,432.00","8,817.00","9,432.00","8,816.00","0.01K","6.55%"
"01/15/2017","8,852.00","8,600.00","9,311.00","8,392.00","0.32K","2.68%"
"01/08/2017","8,621.00","8,570.00","8,750.00","8,383.00","0.30K","1.29%"
"01/01/2017","8,511.00","8,740.00","8,740.00","8,396.00","0.87K","-2.80%"
"12/25/2016","8,756.00","8,896.00","9,328.00","8,630.00","11.45K","-2.66%"
"12/18/2016","8,995.00","9,500.00","9,552.00","8,917.00","29.44K","-6.45%"
"12/11/2016","9,615.00","9,600.00","9,708.00","9,460.00","15.08K","12.83%"
"12/04/2016","8,522.00","8,522.00","8,522.00","8,522.00","","0.00%"
"11/27/2016","8,522.00","8,522.00","8,522.00","8,522.00","0.00K","-0.29%"
"11/20/2016","8,547.00","8,486.00","8,913.00","8,363.00","0.06K","-2.88%"
"11/13/2016","8,800.00","8,800.00","8,800.00","8,800.00","","0.15%"
"11/06/2016","8,787.00","8,787.00","8,787.00","8,787.00","","0.00%"
"10/30/2016","8,787.00","8,793.00","8,793.00","8,782.00","0.00K","2.10%"
"10/23/2016","8,606.00","8,070.00","8,893.00","8,069.00","0.04K","7.25%"
"10/16/2016","8,024.00","8,024.00","8,024.00","8,024.00","","0.00%"
"10/09/2016","8,024.00","8,024.00","8,024.00","8,024.00","0.00K","0.00%"
"09/25/2016","8,024.00","7,801.00","8,080.00","7,728.00","0.06K","2.73%"
